"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: viral","mmu05170","Human immunodeficiency virus 1 infection","35/436","194/7024",0.180412371134021,2.90645985056275,6.92701232431998,6.74297132121912e-09,6.92898432318379e-08,5.1153575540283e-08,"21937/21356/21354/80287/69550/24088/15018/21355/14102/14972/21926/17874/14964/18035/19697/110557/19766/19354/21938/12010/15015/15039/12122/15040/213233/667823/209387/15013/630294/15006/12370/15024/72512/15007/14963",35
"Environmental Information Processing","Signal transduction","mmu04630","JAK-STAT signaling pathway","26/436","119/7024",0.218487394957983,3.51985197748824,7.13172277345499,1.07753699855864e-08,1.07035341856825e-07,7.90193798943005e-08,"16190/12983/12575/16194/16164/17869/20847/18414/20848/12984/18712/12702/20850/12985/16391/16193/20846/213208/60505/16169/12703/13645/56708/329244/16153/16878",26
"Human Diseases","Cardiovascular disease","mmu05417","Lipid and atherosclerosis","32/436","181/7024",0.176795580110497,2.8481930153581,6.480240523941,5.07082648241071e-08,4.87453642502707e-07,3.59865105203341e-07,"21937/12475/20344/16803/54123/24088/56489/14102/20848/20339/21926/17874/22324/18035/19697/13058/22329/14825/15894/16193/20293/21933/66824/216799/117149/12122/11596/16176/20302/12370/237038/21939",32
"Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","17/436","64/7024",0.265625,4.27924311926605,6.77932987496864,2.02105512661551e-07,1.88210758666069e-06,1.38947539954816e-06,"16190/12475/16194/12977/16177/21926/12985/16193/12489/16398/12505/14128/16176/16399/16409/16175/12507",17
"Organismal Systems","Immune system","mmu04610","Complement and coagulation cascades","16/436","59/7024",0.271186440677966,4.368838438812,6.68456903485961,3.39695802192994e-07,3.06755603192461e-06,2.26463868128663e-06,"18793/12258/18791/50908/12273/12266/232345/110382/50909/230558/19124/14962/18815/12263/18787/16409",16
"Human Diseases","Infectious disease: bacterial","mmu05134","Legionellosis","15/436","53/7024",0.283018867924528,4.55945992729791,6.69117340538463,4.32367360366075e-07,3.78957274673796e-06,2.7976711553099e-06,"12475/24088/18034/21926/17874/18035/19697/14825/12266/16193/66824/16176/17948/16409/12370",15
"Human Diseases","Infectious disease: bacterial","mmu05152","Tuberculosis","26/436","142/7024",0.183098591549296,2.94973510789508,6.03796002667472,4.64979487655376e-07,3.95896820918006e-06,2.92272820811951e-06,"21937/12475/16803/246256/24088/108960/21926/17874/12608/14127/19697/12266/16193/20846/257632/20698/117149/12122/14130/16176/18126/16409/16153/22337/12370/16175",26
"Human Diseases","Endocrine and metabolic disease","mmu04933","AGE-RAGE signaling pathway in diabetic complications","21/436","100/7024",0.21,3.38311926605505,6.1744038448957,5.81030926409061e-07,4.79868431059446e-06,3.54265284674759e-06,"12826/12827/20848/20339/18712/21926/19697/21813/13058/22329/20850/15894/16193/20293/20846/11596/16176/18787/237038/16175/13614",21
"Human Diseases","Immune disease","mmu05321","Inflammatory bowel disease","13/436","41/7024",0.317073170731707,5.10807786976952,6.78636724925035,6.03799268616183e-07,4.79868431059446e-06,3.54265284674759e-06,"16190/16174/24088/20848/21926/19697/16193/20846/257632/60505/16176/16153/16175",13
"Cellular Processes","Cell growth and death","mmu04217","Necroptosis","24/436","126/7024",0.19047619047619,3.06858890345129,6.02733946224937,6.1191276443822e-07,4.79868431059446e-06,3.54265284674759e-06,"21937/58203/20847/11796/14102/19106/20848/21926/74568/13058/20850/16391/19766/20846/21933/66824/216799/12122/142980/16176/56532/12370/16175/271844",24
"Organismal Systems","Immune system","mmu04625","C-type lectin receptor signaling pathway","20/436","93/7024",0.21505376344086,3.46453585873533,6.15469377943873,7.24109610629126e-07,5.53294010173025e-06,4.084720880472e-06,"12051/20847/56489/16362/18034/19698/21926/14127/18035/19697/16391/16193/20846/19225/66824/216799/20295/16176/16153/12370",20
"Cellular Processes","Transport and catabolism","mmu04145","Phagocytosis","33/436","214/7024",0.154205607476636,2.48426648375204,5.67248028388907,8.64383958409326e-07,6.43966049014948e-06,4.75411177125129e-06,"12475/16819/13039/21354/246256/24088/22146/15018/21355/67951/14972/14964/110557/13058/12512/20288/19354/12266/15015/16398/21825/15039/14130/15040/16409/15013/21828/630294/15006/15024/17167/15007/14963",33
